date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:17	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2021:29:17%20GMT	https://web.archive.org/web/20140123120446cs_/http://www.monkeyquest.com/monkeyquest/static/css/pages/lander/common.css?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123120446cs_/http_/www.monkeyquest.com/monkeyquest/static/css/pages/lander/common769e.css	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:17	1443/1443	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20May%202024%2021:29:18%20GMT	https://web.archive.org/web/20140123090312cs_/http://www.monkeyquest.com/monkeyquest/static/css/pages/lander/common.css?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123090312cs_/http_/www.monkeyquest.com/monkeyquest/static/css/pages/lander/common769e.css	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:17	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2021:29:18%20GMT	https://web.archive.org/web/20140123120446cs_/http://www.monkeyquest.com/monkeyquest/static/css/common/login.css?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123120446cs_/http_/www.monkeyquest.com/monkeyquest/static/css/common/login769e.css	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:17	1912/1912	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20May%202024%2021:29:18%20GMT	https://web.archive.org/web/20140123090314cs_/http://www.monkeyquest.com/monkeyquest/static/css/common/login.css?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123090314cs_/http_/www.monkeyquest.com/monkeyquest/static/css/common/login769e.css	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:17	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2021:29:18%20GMT	https://web.archive.org/web/20140123120446cs_/http://www.monkeyquest.com/monkeyquest/static/css/pages/lander/thslide.css?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123120446cs_/http_/www.monkeyquest.com/monkeyquest/static/css/pages/lander/thslide769e.css	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:18	2718/2718	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20May%202024%2021:29:18%20GMT	https://web.archive.org/web/20140123090316cs_/http://www.monkeyquest.com/monkeyquest/static/css/pages/lander/thslide.css?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123090316cs_/http_/www.monkeyquest.com/monkeyquest/static/css/pages/lander/thslide769e.css	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:18	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2021:29:19%20GMT	https://web.archive.org/web/20140123120446js_/http://www.monkeyquest.com/monkeyquest/static/js/jquery/jquery-1.4.1.min.js?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123120446js_/http_/www.monkeyquest.com/monkeyquest/static/js/jquery/jquery-1.4.1.min769e.js	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:18	72173/72173	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2006%20May%202024%2021:29:19%20GMT	https://web.archive.org/web/20140123090319js_/http://www.monkeyquest.com/monkeyquest/static/js/jquery/jquery-1.4.1.min.js?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123090319js_/http_/www.monkeyquest.com/monkeyquest/static/js/jquery/jquery-1.4.1.min769e.js	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:18	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2021:29:19%20GMT	https://web.archive.org/web/20140123120446js_/http://www.monkeyquest.com/monkeyquest/static/js/jquery/jquery.cookie.js?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123120446js_/http_/www.monkeyquest.com/monkeyquest/static/js/jquery/jquery.cookie769e.js	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:19	5571/5571	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2006%20May%202024%2021:29:19%20GMT	https://web.archive.org/web/20140123090321js_/http://www.monkeyquest.com/monkeyquest/static/js/jquery/jquery.cookie.js?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123090321js_/http_/www.monkeyquest.com/monkeyquest/static/js/jquery/jquery.cookie769e.js	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:19	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2021:29:20%20GMT	https://web.archive.org/web/20140123120446js_/http://www.monkeyquest.com/monkeyquest/static/js/jquery/jquery.validate.min.js?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123120446js_/http_/www.monkeyquest.com/monkeyquest/static/js/jquery/jquery.validate.min769e.js	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:19	26635/26635	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2006%20May%202024%2021:29:20%20GMT	https://web.archive.org/web/20140123090322js_/http://www.monkeyquest.com/monkeyquest/static/js/jquery/jquery.validate.min.js?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123090322js_/http_/www.monkeyquest.com/monkeyquest/static/js/jquery/jquery.validate.min769e.js	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
17:29:19	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2006%20May%202024%2021:29:20%20GMT	https://web.archive.org/web/20140123120446js_/http://www.monkeyquest.com/static-lib/dojo/1.6/dojo/dojo-build.js?v=42.0.7	C:/My%20Web%20Sites/2014home/web.archive.org/web/20140123120446js_/http_/www.monkeyquest.com/static-lib/dojo/1.6/dojo/dojo-build769e.js	(from https://web.archive.org/web/20140123120446/http://www.monkeyquest.com/en/index)
